value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,Suppliments_1Cycle_Lon_1E6Lib 1,Suppliments_1Cycle_Lon_1E6Lib 2,Suppliments_1Cycle_Lon_1E6Lib 3,Suppliments_1Cycle_Lon_1E6Lib 4,Suppliments_1Cycle_Lon_1E6Lib 5,Suppliments_1Cycle_Lon_1E6Lib 6,Suppliments_1Cycle_Lon_1E6Lib 7,Suppliments_1Cycle_Lon_1E6Lib 8,Suppliments_1Cycle_Lon_1E6Lib 9,Suppliments_1Cycle_Lon_1E6Lib_10,Suppliments_1Cycle_Lon_1E6Lib_11,Suppliments_WT
B,Suppliments_1Cycle_Lon_1E6Lib 1,Suppliments_1Cycle_Lon_1E6Lib 2,Suppliments_1Cycle_Lon_1E6Lib 3,Suppliments_1Cycle_Lon_1E6Lib 4,Suppliments_1Cycle_Lon_1E6Lib 5,Suppliments_1Cycle_Lon_1E6Lib 6,Suppliments_1Cycle_Lon_1E6Lib 7,Suppliments_1Cycle_Lon_1E6Lib 8,Suppliments_1Cycle_Lon_1E6Lib 9,Suppliments_1Cycle_Lon_1E6Lib_10,Suppliments_1Cycle_Lon_1E6Lib_11,Suppliments_WT
C,Suppliments_3Cycle_Lon_1E5Lib 1,Suppliments_3Cycle_Lon_1E5Lib 2,Suppliments_3Cycle_Lon_1E5Lib 3,Suppliments_3Cycle_Lon_1E5Lib 4,Suppliments_3Cycle_Lon_1E5Lib 5,Suppliments_3Cycle_Lon_1E5Lib 6,Suppliments_3Cycle_Lon_1E5Lib 7,Suppliments_3Cycle_Lon_1E5Lib 8,Suppliments_3Cycle_Lon_1E5Lib 9,Suppliments_3Cycle_Lon_1E5Lib_10,Suppliments_3Cycle_Lon_1E5Lib_11,Suppliments_WT
D,Suppliments_3Cycle_Lon_1E5Lib 1,Suppliments_3Cycle_Lon_1E5Lib 2,Suppliments_3Cycle_Lon_1E5Lib 3,Suppliments_3Cycle_Lon_1E5Lib 4,Suppliments_3Cycle_Lon_1E5Lib 5,Suppliments_3Cycle_Lon_1E5Lib 6,Suppliments_3Cycle_Lon_1E5Lib 7,Suppliments_3Cycle_Lon_1E5Lib 8,Suppliments_3Cycle_Lon_1E5Lib 9,Suppliments_3Cycle_Lon_1E5Lib_10,Suppliments_3Cycle_Lon_1E5Lib_11,Suppliments_WT
E,thyA_sup_3Cycle_Lon_1E5Lib 1,thyA_sup_3Cycle_Lon_1E5Lib 2,thyA_sup_3Cycle_Lon_1E5Lib 3,thyA_sup_3Cycle_Lon_1E5Lib 4,thyA_sup_3Cycle_Lon_1E5Lib 5,thyA_sup_3Cycle_Lon_1E5Lib 6,thyA_sup_3Cycle_Lon_1E5Lib 7,thyA_sup_3Cycle_Lon_1E5Lib 8,thyA_sup_3Cycle_Lon_1E5Lib 9,thyA_sup_3Cycle_Lon_1E5Lib_10,thyA_sup_3Cycle_Lon_1E5Lib_11,thyA_WT
F,thyA_sup_3Cycle_Lon_1E5Lib 1,thyA_sup_3Cycle_Lon_1E5Lib 2,thyA_sup_3Cycle_Lon_1E5Lib 3,thyA_sup_3Cycle_Lon_1E5Lib 4,thyA_sup_3Cycle_Lon_1E5Lib 5,thyA_sup_3Cycle_Lon_1E5Lib 6,thyA_sup_3Cycle_Lon_1E5Lib 7,thyA_sup_3Cycle_Lon_1E5Lib 8,thyA_sup_3Cycle_Lon_1E5Lib 9,thyA_sup_3Cycle_Lon_1E5Lib_10,thyA_sup_3Cycle_Lon_1E5Lib_11,thyA_WT
G,thyA_sup_1Cycle_Lon_1E6Lib 1,thyA_sup_1Cycle_Lon_1E6Lib 2,thyA_sup_1Cycle_Lon_1E6Lib 3,thyA_sup_1Cycle_Lon_1E6Lib 4,thyA_sup_1Cycle_Lon_1E6Lib 5,thyA_sup_1Cycle_Lon_1E6Lib 6,thyA_sup_1Cycle_Lon_1E6Lib 7,thyA_sup_1Cycle_Lon_1E6Lib 8,thyA_sup_1Cycle_Lon_1E6Lib 9,thyA_sup_1Cycle_Lon_1E6Lib_10,thyA_sup_1Cycle_Lon_1E6Lib_11,thyA_WT
H,thyA_sup_1Cycle_Lon_1E6Lib 1,thyA_sup_1Cycle_Lon_1E6Lib 2,thyA_sup_1Cycle_Lon_1E6Lib 3,thyA_sup_1Cycle_Lon_1E6Lib 4,thyA_sup_1Cycle_Lon_1E6Lib 5,thyA_sup_1Cycle_Lon_1E6Lib 6,thyA_sup_1Cycle_Lon_1E6Lib 7,thyA_sup_1Cycle_Lon_1E6Lib 8,thyA_sup_1Cycle_Lon_1E6Lib 9,thyA_sup_1Cycle_Lon_1E6Lib_10,thyA_sup_1Cycle_Lon_1E6Lib_11,thyA_WT
