value_type,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,31-R1,31-R6,0-R1,0-R6,31-R2,31-R7,0-R2,0-R7,31-R3,31-R8,0-R3,0-R8,31-R4,31-R9,0-R4,0-R9,31-R5,31-R10,0-R5,0-R10,,,,
O,31-R11,31-R16,0-R11,0-R16,31-R12,31-R17,0-R12,0-R17,31-R13,31-R18,0-R13,0-R18,31-R14,31-R19,0-R14,0-R19,31-R15,31-R20,0-R15,0-R20,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,NaN
